Household 202,Household 210,Quantile,Datetime
0.033767485318549825,0.0435421735427162,0.75,2015-08-06T11:15:00Z
0.036174064356962285,0.07218407614127807,0.75,2015-08-06T11:45:00Z
0.04285267881690597,0.125464349812844,0.75,2015-08-06T12:15:00Z
0.053465743485696784,0.18923464041581475,0.75,2015-08-06T12:45:00Z
0.06475058598949644,0.22611415113916417,0.75,2015-08-06T13:15:00Z
0.07317973585893162,0.20792162040052337,0.75,2015-08-06T13:45:00Z
0.07874828203706734,0.1482833192196867,0.75,2015-08-06T14:15:00Z
0.08465960624631448,0.08682911014235126,0.75,2015-08-06T14:45:00Z
0.09342943859919914,0.04883579681112068,0.75,2015-08-06T15:15:00Z
0.10459697688527064,0.03371391179336351,0.75,2015-08-06T15:45:00Z
0.11493364211723152,0.031092237292744913,0.75,2015-08-06T16:15:00Z
0.12109833745039127,0.0334868753454652,0.75,2015-08-06T16:45:00Z
0.12369309251247343,0.03714650409311246,0.75,2015-08-06T17:15:00Z
0.12654147217758022,0.04013369280788145,0.75,2015-08-06T17:45:00Z
0.1321240888027253,0.04192276615944696,0.75,2015-08-06T18:15:00Z
0.14154782217193693,0.04285253828529799,0.75,2015-08-06T18:45:00Z
0.15685790584691167,0.04352808482955648,0.75,2015-08-06T19:15:00Z
0.17601563064404202,0.044796557574523076,0.75,2015-08-06T19:45:00Z
0.18910763819910864,0.047350212903971026,0.75,2015-08-06T20:15:00Z
0.19151610824802465,0.05097007845975852,0.75,2015-08-06T20:45:00Z
0.18971875302503158,0.05454531443037845,0.75,2015-08-06T21:15:00Z
0.18368104566845095,0.05716326900555329,0.75,2015-08-06T21:45:00Z
0.16680796547022433,0.059081862823039816,0.75,2015-08-06T22:15:00Z
0.14289020394845864,0.06118189595139798,0.75,2015-08-06T22:45:00Z
0.1207981753392919,0.06363702427293624,0.75,2015-08-06T23:15:00Z
0.10327825417817867,0.0658833805091516,0.75,2015-08-06T23:45:00Z
2.0009511094273003,1.7508826155623403,0.75,2015-08-07T00:15:00Z
2.1815433075767716,1.6413364694597206,0.75,2015-08-07T00:45:00Z
2.1924199983378085,1.4091068942315814,0.75,2015-08-07T01:15:00Z
1.9740366220529446,1.073392671310285,0.75,2015-08-07T01:45:00Z
1.670496716637248,0.7342382131196609,0.75,2015-08-07T02:15:00Z
1.4255000108704516,0.48179626111436086,0.75,2015-08-07T02:45:00Z
1.1743325847605255,0.32586282279089407,0.75,2015-08-07T03:15:00Z
0.83856164957327,0.23668073090206657,0.75,2015-08-07T03:45:00Z
0.5151051823419752,0.19742242071711247,0.75,2015-08-07T04:15:00Z
0.332396760965011,0.1974459419034008,0.75,2015-08-07T04:45:00Z
0.27993025267796845,0.21302743841167335,0.75,2015-08-07T05:15:00Z
0.25399223702133333,0.21877885438533023,0.75,2015-08-07T05:45:00Z
0.1934448035935155,0.20530442581142985,0.75,2015-08-07T06:15:00Z
0.11875214141846399,0.17591783571608013,0.75,2015-08-07T06:45:00Z
0.06741675057242234,0.13601335615212082,0.75,2015-08-07T07:15:00Z
0.04692103645941518,0.09375327192645921,0.75,2015-08-07T07:45:00Z
0.048870407204149306,0.06106389370048885,0.75,2015-08-07T08:15:00Z
0.07159394135536802,0.04453492080018737,0.75,2015-08-07T08:45:00Z
0.116247087533317,0.04081225189767099,0.75,2015-08-07T09:15:00Z
0.16589362787858264,0.042545472498955864,0.75,2015-08-07T09:45:00Z
0.18673735953648601,0.04499065663487749,0.75,2015-08-07T10:15:00Z
0.16582764734617989,0.048194799613720585,0.75,2015-08-07T10:45:00Z
0.1287592491598381,0.05554233368530942,0.75,2015-08-07T11:15:00Z
0.10563527197779007,0.06808431659010931,0.75,2015-08-07T11:45:00Z
0.10084618801104203,0.07815886371314833,0.75,2015-08-07T12:15:00Z
0.1019011283988134,0.07522650189273909,0.75,2015-08-07T12:45:00Z
0.09868212323175546,0.060162536294657606,0.75,2015-08-07T13:15:00Z
0.08997879764622592,0.04484073029497426,0.75,2015-08-07T13:45:00Z
0.0800513111723851,0.03804464908759389,0.75,2015-08-07T14:15:00Z
0.07197251057307133,0.03870785997642062,0.75,2015-08-07T14:45:00Z
0.06444806176864652,0.04036225290320127,0.75,2015-08-07T15:15:00Z
0.05555090484786832,0.03851500666139634,0.75,2015-08-07T15:45:00Z
