Datetime,Household202,Household210,Quantile
16-09-2015 17:00,0.099664999,0.030837095,0.5
16-09-2015 17:15,0.081656526,0.036367476,0.5
16-09-2015 17:30,0.068274222,0.048964542,0.5
16-09-2015 17:45,0.06044556,0.068234674,0.5
16-09-2015 18:00,0.059283866,0.086190268,0.5
16-09-2015 18:15,0.063401495,0.091052107,0.5
16-09-2015 18:30,0.069133426,0.078776985,0.5
16-09-2015 18:45,0.073436073,0.058183991,0.5
16-09-2015 19:00,0.076378053,0.041586862,0.5
16-09-2015 19:15,0.081386782,0.034074956,0.5
16-09-2015 19:30,0.089869153,0.033728277,0.5
16-09-2015 19:45,0.097359408,0.037188977,0.5
16-09-2015 20:00,0.099900867,0.042408834,0.5
16-09-2015 20:15,0.098670804,0.047722145,0.5
16-09-2015 20:30,0.095420014,0.050532417,0.5
16-09-2015 20:45,0.090540391,0.049306018,0.5
16-09-2015 21:00,0.085439832,0.045985282,0.5
16-09-2015 21:15,0.083314925,0.043879835,0.5
16-09-2015 21:30,0.087657068,0.044444468,0.5
16-09-2015 21:45,0.098115777,0.047125399,0.5
16-09-2015 22:00,0.109484203,0.05052594,0.5
16-09-2015 22:15,0.116842551,0.053367296,0.5
16-09-2015 22:30,0.118687416,0.05524025,0.5
16-09-2015 22:45,0.115125327,0.056527212,0.5
16-09-2015 23:00,0.106822397,0.057836876,0.5
16-09-2015 23:15,0.096123644,0.059704992,0.5
16-09-2015 23:30,0.086398799,0.062084646,0.5
16-09-2015 23:45,0.079473993,0.063999688,0.5
17-09-2015 00:00,0.075112641,0.064524033,0.5
17-09-2015 00:15,2.58242938,1.702990802,0.5
17-09-2015 00:30,2.888456624,1.708490045,0.5
17-09-2015 00:45,3.101258186,1.627675659,0.5
17-09-2015 01:00,3.150644325,1.434851435,0.5
17-09-2015 01:15,3.09448569,1.17052997,0.5
17-09-2015 01:30,3.036310372,0.902657073,0.5
17-09-2015 01:45,2.988920715,0.675325915,0.5
17-09-2015 02:00,2.897318281,0.510139303,0.5
17-09-2015 02:15,2.72213413,0.409504699,0.5
17-09-2015 02:30,2.463332845,0.358518035,0.5
17-09-2015 02:45,2.142925161,0.33811072,0.5
17-09-2015 03:00,1.793660855,0.330176508,0.5
17-09-2015 03:15,1.46035788,0.316845631,0.5
