Datetime,Household 13,Household 56,Household 61,Household 114,Household 159,Household 161,Household 176,Household 184,Household 190,Household 223,Quantile
14-09-2015 18:00,0.128400861,0.914152041,0.24816002,0.201797296,0.508542994,0.123067867,0.274840305,0.640328933,0.289998584,0.018321634,0.5
14-09-2015 18:15,0.156910949,0.922773862,0.253868286,0.19146135,0.5542092,0.135858255,0.270890572,0.804370646,0.297817813,0.025451435,0.5
14-09-2015 18:30,0.207162054,0.948732333,0.252164703,0.175696972,0.69901038,0.148750126,0.267146946,0.900394368,0.296358428,0.0363872,0.5
14-09-2015 18:45,0.260239409,0.995287925,0.232500649,0.154541731,0.791103224,0.155373272,0.257595794,0.8511189,0.285828431,0.046877941,0.5
14-09-2015 19:00,0.28248889,1.033303136,0.191859095,0.144187772,0.725613312,0.158231389,0.245791998,0.66714671,0.270503293,0.051034799,0.5
14-09-2015 19:15,0.258461218,1.035103499,0.145901766,0.164063928,0.555898795,0.170347199,0.237186584,0.46392582,0.255088425,0.048296598,0.5
14-09-2015 19:30,0.20798078,0.998359711,0.120418426,0.218017801,0.408378387,0.206189321,0.225554614,0.340768548,0.244517691,0.047381327,0.5
14-09-2015 19:45,0.161981598,0.946861552,0.130779908,0.291714856,0.342844708,0.264929155,0.206690758,0.302670058,0.241889032,0.059436904,0.5
14-09-2015 20:00,0.133965293,0.918801692,0.176680808,0.364739117,0.347616065,0.331659986,0.189253514,0.312319912,0.24725219,0.089408015,0.5
14-09-2015 20:15,0.122594235,0.932115023,0.253067596,0.42494121,0.397806721,0.400543734,0.18553213,0.363197065,0.260832041,0.139689528,0.5
14-09-2015 20:30,0.125652282,0.965399148,0.361867728,0.471018227,0.474061646,0.47217106,0.201908825,0.471339378,0.284154245,0.21346595,0.5
14-09-2015 20:45,0.143362293,0.993360772,0.50262577,0.512586789,0.569965678,0.530980793,0.240405116,0.60170419,0.320030866,0.312427479,0.5
14-09-2015 21:00,0.180856608,0.992200638,0.643120945,0.559458393,0.693606904,0.574228975,0.306215812,0.659232762,0.373459202,0.444524332,0.5
14-09-2015 21:15,0.240761952,0.907968963,0.721995763,0.593417003,0.833382501,0.635481367,0.406578567,0.595542004,0.44775689,0.618519965,0.5
14-09-2015 21:30,0.308766939,0.721997095,0.712052219,0.587816154,0.944036272,0.725772782,0.538969285,0.471525406,0.540420405,0.813327508,0.5
14-09-2015 21:45,0.378468793,0.523315364,0.659185327,0.559320853,0.999174419,0.806798101,0.683491133,0.378283506,0.639523005,0.977221577,0.5
14-09-2015 22:00,0.477832419,0.412797823,0.61703118,0.536662543,1.034161265,0.84650491,0.799909991,0.347881065,0.714901678,1.068826175,0.5
14-09-2015 22:15,0.624805389,0.386291285,0.575870698,0.505478268,1.083254507,0.848141586,0.840968127,0.353462926,0.731909422,1.07478645,0.5
14-09-2015 22:30,0.778697335,0.375996431,0.498004647,0.445017861,1.086968574,0.82453994,0.798749411,0.359078759,0.691293784,0.995575241,0.5
14-09-2015 22:45,0.866806322,0.340897833,0.384737702,0.373057949,0.954216155,0.768470076,0.723506611,0.352779479,0.626946735,0.854160536,0.5
14-09-2015 23:00,0.841306176,0.281208324,0.272644626,0.317823709,0.705512432,0.660764593,0.664087246,0.336707632,0.559327133,0.700006152,0.5
14-09-2015 23:15,0.707555679,0.217492152,0.190847956,0.284750088,0.459494251,0.511739281,0.61648956,0.309082567,0.48666864,0.570678275,0.5
14-09-2015 23:30,0.523230823,0.171087888,0.144467902,0.263688764,0.298572317,0.369000563,0.558915946,0.269970501,0.412365448,0.473840017,0.5
14-09-2015 23:45,0.360448169,0.146769992,0.122986968,0.245758958,0.217769107,0.270855917,0.496399239,0.229003898,0.348109593,0.406810267,0.5
15-09-2015 00:00,0.252804809,0.135885961,0.112859171,0.228487853,0.179197765,0.217426947,0.445821913,0.19614365,0.299706638,0.365636558,0.5
15-09-2015 00:15,0.128875214,0.115720692,0.063055489,0.13130249,0.14202705,0.136771727,0.130406239,0.131861242,0.156732926,0.23138441,0.5
15-09-2015 00:30,0.12859782,0.115074817,0.061173362,0.128633718,0.149954173,0.129736093,0.131924804,0.130324896,0.155803848,0.203182071,0.5
15-09-2015 00:45,0.126002501,0.115072432,0.059551855,0.123027451,0.158227736,0.123074749,0.13156229,0.128092055,0.155686779,0.17043155,0.5
15-09-2015 01:00,0.122537071,0.115594058,0.059226896,0.115166045,0.161914089,0.120278404,0.129122831,0.126048627,0.159907083,0.140171977,0.5
15-09-2015 01:15,0.119219297,0.116103994,0.059693781,0.106649506,0.158861174,0.120232094,0.125513169,0.124387861,0.17406204,0.119424871,0.5
15-09-2015 01:30,0.115842359,0.116433026,0.059030044,0.099023756,0.157559112,0.119830246,0.122516348,0.12233696,0.200495692,0.110432229,0.5
15-09-2015 01:45,0.112779905,0.117016093,0.056683835,0.093253458,0.168388694,0.121062359,0.122042189,0.11997789,0.231593806,0.111180016,0.5
15-09-2015 02:00,0.111206894,0.118922025,0.055410366,0.090277309,0.185536944,0.127528498,0.124117292,0.118286333,0.253519857,0.11728012,0.5
15-09-2015 02:15,0.11228085,0.127243594,0.060357322,0.092171213,0.189762155,0.137331611,0.125905057,0.117921424,0.259745019,0.124819579,0.5
15-09-2015 02:30,0.116879836,0.162070861,0.076272262,0.100871914,0.177246552,0.147453867,0.125598978,0.120515508,0.25681968,0.133836679,0.5
15-09-2015 02:45,0.124733516,0.269082751,0.107100048,0.115054415,0.175053511,0.163608376,0.125563326,0.129222736,0.257352435,0.147503846,0.5
15-09-2015 03:00,0.134251879,0.498216901,0.157803176,0.129421486,0.216427578,0.196007138,0.128689268,0.14551241,0.271517627,0.16823703,0.5
15-09-2015 03:15,0.145696711,0.831320277,0.227117948,0.137633495,0.306577754,0.238283537,0.135753464,0.169632141,0.301603314,0.194323512,0.5
15-09-2015 03:30,0.166974516,1.120558182,0.294298218,0.138971907,0.409868136,0.261591407,0.151360575,0.212145695,0.340514528,0.216189395,0.5
15-09-2015 03:45,0.213997212,1.171640347,0.326927259,0.144442854,0.465242198,0.245191378,0.19230943,0.300903965,0.378510563,0.21767999,0.5
15-09-2015 04:00,0.294971357,0.960967788,0.312821466,0.170917325,0.434177641,0.2020141,0.282439542,0.453332575,0.409040555,0.190180876,0.5
15-09-2015 04:15,0.388607962,0.676331126,0.272919248,0.222803246,0.341478715,0.160490971,0.420642734,0.626894818,0.422057803,0.143466627,0.5
15-09-2015 04:30,0.45324279,0.4810443,0.235095788,0.28155407,0.249012972,0.135113391,0.54766151,0.728301288,0.402576465,0.095496058,0.5
15-09-2015 04:45,0.472224679,0.383619304,0.212027645,0.320414752,0.192320766,0.122731496,0.580078314,0.718418468,0.35194367,0.058272077,0.5
15-09-2015 05:00,0.470339922,0.340706869,0.205298552,0.331908477,0.163951627,0.115390521,0.503100276,0.677555775,0.298568272,0.035048596,0.5
15-09-2015 05:15,0.468272268,0.338672847,0.208266524,0.331753147,0.150687,0.110443506,0.389601091,0.711256087,0.27255572,0.022879778,0.5
15-09-2015 05:30,0.449722351,0.376594516,0.207189378,0.332346807,0.154231333,0.109721731,0.307736197,0.825469785,0.280502982,0.017863609,0.5
15-09-2015 05:45,0.396684145,0.43889339,0.19666249,0.328895913,0.169613477,0.112295172,0.262139745,0.933069588,0.303699699,0.019145162,0.5
15-09-2015 06:00,0.329379729,0.49800649,0.185245901,0.316304137,0.175837516,0.113623313,0.233693236,0.947517492,0.313263564,0.026323321,0.5
15-09-2015 06:15,0.283361087,0.527569229,0.177684203,0.298427468,0.163510452,0.112349847,0.217357589,0.846437945,0.297605242,0.035225318,0.5
15-09-2015 06:30,0.268955198,0.513558117,0.167774574,0.277534719,0.148991477,0.113033107,0.209930142,0.676714288,0.272101315,0.040173361,0.5
15-09-2015 06:45,0.276342238,0.471308222,0.150752364,0.258476006,0.149633689,0.12173262,0.203069014,0.522040528,0.255464305,0.040442311,0.5
15-09-2015 07:00,0.300060197,0.43672576,0.128469619,0.257365035,0.163221922,0.145287139,0.19605601,0.452218646,0.250344155,0.040234944,0.5
15-09-2015 07:15,0.334261701,0.437910393,0.10602077,0.283355329,0.181972944,0.201664224,0.194932897,0.483094004,0.248819968,0.04408031,0.5
15-09-2015 07:30,0.357853598,0.494694189,0.090326617,0.31929799,0.212277195,0.329433664,0.201744054,0.575309774,0.244162672,0.057000853,0.5
15-09-2015 07:45,0.350543242,0.609717642,0.087014255,0.331915967,0.260092009,0.56275587,0.211576622,0.662861478,0.236326121,0.082806799,0.5
15-09-2015 08:00,0.317187515,0.734573773,0.097439405,0.306081761,0.306410901,0.863417165,0.217778211,0.697960532,0.231388446,0.123409847,0.5
15-09-2015 08:15,0.280975358,0.789257675,0.124319441,0.268774532,0.326779666,1.100070778,0.222842543,0.684680623,0.236271997,0.193150761,0.5
15-09-2015 08:30,0.257447476,0.736277223,0.181771387,0.261396941,0.330244718,1.16565665,0.243959654,0.65360081,0.256109415,0.313968845,0.5
15-09-2015 08:45,0.244326808,0.620718425,0.290810748,0.294788956,0.357001927,1.100110256,0.30701667,0.622797523,0.30413219,0.471510885,0.5
15-09-2015 09:00,0.241253023,0.545220738,0.446264659,0.355198641,0.43648893,1.024921687,0.434709295,0.602305176,0.409904277,0.605452807,0.5
