Datetime,Household 4,Household 11,Household 22,Household 33,Household 42,Household 43,Household 46,Household 48,Household 52,Household 65,Household 68,Household 72,Household 89,Household 94,Household 99,Household 101,Household 102,Household 119,Household 125,Household 129,Household 130,Household 134,Household 138,Household 143,Household 147,Household 157,Household 163,Household 168,Household 171,Household 175,Household 180,Household 186,Household 194,Household 203,Household 206,Household 208,Household 214,Household 215,Household 216,Household 219,Household 221,Household 226,Quantile
15-09-2015 00:30,0.121337702,0.13509992,0.140351453,0.176585855,0.098540392,0.13545371,0.047170942,0.144718505,0.246417462,0.301671187,0.133972322,0.104506537,0.191169855,0.122574882,0.165588451,0.164210804,0.187929271,0.223008172,0.13072819,0.115961297,0.145420143,0.247658206,0.196121352,0.207082372,0.195226867,0.096162788,0.148711298,0.148552917,0.132038965,0.089524501,0.134015932,0.094022064,0.388202571,0.208592837,0.170843636,1.225894933,0.146071233,0.094928087,0.22401512,0.143870263,0.149597738,0.264923176,0.95
15-09-2015 00:45,0.115799164,0.13627937,0.143518228,0.172709189,0.096205414,0.132760802,0.043694803,0.142241767,0.227767515,0.255591784,0.127526601,0.105423815,0.178230479,0.115675122,0.160923524,0.164704275,0.175533965,0.214201133,0.120971758,0.093664636,0.133730393,0.227756657,0.187653766,0.180857936,0.173914385,0.099883954,0.145892098,0.131296874,0.129452348,0.087264176,0.134084595,0.093327218,0.316844399,0.179966163,0.158808288,1.201263324,0.135790554,0.093945759,0.202023219,0.140620424,0.147707277,0.244558941,0.95
15-09-2015 01:00,0.109992141,0.136577922,0.142148141,0.166964476,0.096652085,0.12727418,0.040995584,0.139691156,0.21107722,0.230035174,0.123385928,0.106162328,0.164802182,0.104655451,0.159474862,0.163303237,0.165412543,0.205285087,0.111494916,0.085310425,0.122223008,0.207105893,0.179522663,0.154098581,0.156335466,0.100148291,0.139328807,0.117438876,0.126039878,0.086813746,0.129150649,0.095204753,0.238415175,0.163441252,0.143058996,1.010488676,0.119632357,0.092385771,0.186310336,0.13892438,0.14545956,0.220994623,0.95
15-09-2015 01:15,0.10560582,0.1359782,0.136106767,0.160316741,0.09649158,0.121566488,0.039929852,0.138661289,0.200897451,0.22401965,0.120371438,0.105526891,0.152379012,0.094629882,0.159753191,0.15955589,0.160639627,0.1958748,0.104486936,0.093815653,0.113323566,0.189585617,0.173281653,0.136782325,0.144885223,0.096651063,0.132429513,0.109943146,0.121442242,0.088276554,0.12587102,0.09834657,0.173797469,0.164619617,0.127695805,0.729553439,0.105586169,0.088689205,0.177291795,0.140067489,0.143565889,0.198130497,0.95
15-09-2015 01:30,0.102985462,0.134471864,0.128719561,0.153891782,0.092351307,0.117096983,0.039501907,0.139982076,0.197068841,0.219664811,0.116713802,0.103621635,0.141288836,0.086283608,0.157275605,0.155231351,0.159960225,0.189250701,0.101510912,0.110964748,0.106328331,0.175454422,0.170008057,0.130675338,0.143752652,0.093538263,0.126991007,0.107498122,0.115048026,0.091714971,0.129617029,0.102008147,0.1397919,0.174505321,0.115639578,0.485162852,0.09823296,0.080595538,0.172730462,0.141168546,0.142593763,0.178769038,0.95
15-09-2015 01:45,0.101702027,0.133159249,0.123016104,0.148538219,0.086063686,0.113414579,0.039509869,0.145069357,0.196858632,0.204699515,0.112865271,0.103468457,0.131020819,0.079497152,0.153909831,0.153065715,0.157470345,0.189000722,0.103788107,0.122922758,0.100286675,0.164342608,0.16890938,0.131905385,0.16067153,0.098312257,0.121569485,0.11031752,0.107674381,0.097407532,0.135861007,0.107222226,0.148032913,0.188200892,0.106985898,0.328217868,0.097217887,0.072263555,0.169704387,0.139378286,0.142516036,0.163671308,0.95
15-09-2015 02:00,0.10160793,0.134419367,0.120259273,0.145075454,0.083106679,0.110282207,0.039551937,0.153835794,0.198956288,0.185268819,0.110239524,0.10869954,0.121379356,0.077011361,0.163198788,0.154654597,0.150110634,0.195937197,0.11126502,0.125836328,0.094303514,0.158335891,0.166715011,0.137914605,0.207359891,0.114183479,0.115615978,0.121934144,0.10010366,0.105772495,0.135561056,0.115009256,0.214153026,0.217177608,0.101476404,0.238713683,0.102808087,0.068779835,0.166657695,0.136388726,0.144049913,0.152660047,0.95
15-09-2015 02:15,0.102461396,0.140205215,0.122510088,0.144506146,0.085968843,0.110078754,0.039106217,0.162024098,0.203757692,0.173844584,0.108642514,0.120450323,0.112317911,0.081610838,0.206987359,0.160612185,0.14428103,0.213245763,0.12006616,0.137134071,0.088569107,0.159781378,0.161465942,0.149261333,0.294636017,0.13689373,0.111893408,0.143182267,0.092952458,0.118439081,0.128234129,0.125805651,0.338592131,0.272178053,0.101977261,0.189611377,0.11514795,0.070352249,0.164883525,0.13593943,0.150216032,0.145332015,0.95
15-09-2015 02:30,0.104063007,0.150868256,0.131715126,0.147637408,0.091038865,0.116826184,0.040114741,0.167042418,0.213256001,0.174227479,0.107336319,0.137334242,0.103284514,0.094095588,0.297520535,0.170549334,0.151544749,0.244638199,0.124410267,0.17551136,0.085797494,0.167533349,0.158087733,0.16593066,0.40843236,0.162456067,0.112942016,0.167598106,0.092211393,0.136198661,0.124643706,0.138949944,0.47690932,0.341358743,0.115685708,0.166961793,0.130071244,0.075595436,0.166625125,0.138962491,0.165968524,0.140747694,0.95
15-09-2015 02:45,0.106369907,0.164343673,0.146174278,0.154756592,0.095603134,0.135085833,0.04675473,0.173698788,0.229413916,0.180421541,0.106758428,0.158536109,0.09402868,0.11353404,0.411297439,0.183538557,0.183025364,0.284140136,0.122358412,0.227775246,0.08768115,0.177955166,0.166793366,0.184557741,0.499297128,0.194424268,0.117284992,0.185695747,0.111827003,0.158374552,0.135995019,0.152044082,0.565095005,0.394727458,0.150891404,0.161410614,0.142612588,0.083333599,0.173598178,0.143844123,0.196730521,0.137284976,0.95
15-09-2015 03:00,0.10950426,0.17617603,0.16111884,0.166098532,0.106254557,0.170105519,0.06357964,0.18732367,0.249637878,0.186088196,0.107882805,0.1850537,0.085454237,0.137887864,0.4907175,0.200245261,0.256354289,0.318484148,0.119180342,0.257399438,0.09214044,0.189197658,0.191981817,0.201867029,0.521284296,0.238651607,0.121361224,0.19249188,0.167207747,0.188417917,0.159213068,0.162873237,0.572574953,0.404391956,0.210367898,0.163893462,0.151650412,0.091074269,0.186313818,0.148878246,0.245860983,0.133350911,0.95
15-09-2015 03:15,0.11627827,0.184870034,0.173917294,0.182279202,0.132285708,0.21688935,0.087289464,0.204079948,0.266231725,0.192347274,0.111204871,0.213939798,0.078917368,0.165147261,0.490145905,0.222061809,0.390212964,0.342683072,0.129007259,0.251536245,0.096793419,0.200237576,0.224834785,0.219042093,0.471060583,0.291922144,0.124529628,0.187072178,0.263102599,0.234214926,0.174785014,0.172044195,0.505138207,0.362163715,0.284971866,0.16544777,0.154745985,0.096309586,0.200403458,0.149208103,0.306990182,0.127942249,0.95
15-09-2015 03:30,0.133649615,0.197464075,0.188277972,0.203893993,0.169869222,0.251364524,0.101102904,0.212875575,0.271843638,0.203601445,0.116350366,0.232565337,0.076351632,0.191688007,0.419055888,0.247001442,0.555355323,0.361875279,0.170251761,0.234221759,0.102445387,0.205962367,0.251237088,0.240518707,0.382119817,0.342105594,0.13084698,0.169088591,0.376120204,0.299217396,0.167680999,0.185183453,0.393900571,0.288732165,0.350954177,0.157453198,0.147305378,0.098986617,0.206486822,0.136486834,0.35297844,0.120480852,0.95
15-09-2015 03:45,0.166853697,0.221132589,0.210254905,0.23098476,0.200288123,0.255409225,0.09461953,0.206231057,0.264567276,0.21654092,0.12307351,0.227540651,0.080829431,0.209887523,0.328442339,0.26693675,0.654811864,0.377711274,0.242439967,0.225700428,0.111805757,0.199060515,0.266790673,0.26889813,0.298800257,0.378165741,0.145764114,0.141661681,0.449572435,0.373058362,0.147262738,0.213712788,0.301258754,0.217608101,0.377459364,0.136871875,0.131980065,0.099273636,0.197707793,0.109486169,0.344099142,0.110656418,0.95
15-09-2015 04:00,0.210542075,0.24963655,0.243218095,0.263356003,0.209556296,0.240485142,0.079289805,0.186363672,0.249113,0.219283029,0.1322894,0.199935273,0.093500813,0.215161882,0.258142803,0.269052944,0.617883457,0.38653235,0.306423682,0.216415647,0.126040991,0.179209858,0.280800152,0.302493207,0.250450972,0.394870519,0.170327885,0.116337168,0.435689416,0.428998898,0.134880791,0.266547928,0.289490557,0.167633649,0.349630147,0.111428312,0.11601024,0.093656955,0.175543258,0.07824486,0.268487375,0.098651229,0.95
15-09-2015 04:15,0.249837709,0.270545734,0.29220464,0.301293746,0.208148189,0.227181816,0.067622576,0.162652381,0.233211709,0.205918904,0.142844846,0.165513119,0.110134373,0.21685202,0.211645575,0.24692078,0.49025931,0.377538006,0.315811444,0.191448031,0.142305082,0.15704541,0.301968523,0.335491168,0.23514502,0.398071747,0.198074387,0.110930642,0.349990676,0.441650974,0.138006644,0.333177846,0.371510172,0.139756103,0.286808857,0.093304258,0.099254485,0.079114587,0.146258247,0.052349427,0.164657052,0.085282428,0.95
15-09-2015 04:30,0.274305445,0.281528758,0.357148043,0.34500449,0.223276148,0.226056067,0.059189046,0.147148859,0.221807084,0.185773824,0.149709365,0.142435377,0.123713176,0.231429414,0.179393879,0.213656656,0.376899426,0.326861272,0.270358212,0.159035816,0.154293137,0.146913291,0.324523544,0.353700114,0.229942323,0.40266797,0.219218405,0.13481553,0.25331066,0.411576726,0.148363523,0.384079353,0.500946903,0.130725384,0.226304329,0.087964029,0.079013912,0.05957202,0.113863336,0.033577968,0.083650547,0.071635256,0.95
15-09-2015 04:45,0.290093344,0.284647154,0.414912018,0.393111666,0.266125237,0.237795934,0.052254035,0.147733744,0.215469066,0.171146181,0.150499799,0.136680272,0.130706744,0.261915372,0.159584596,0.192550998,0.331232172,0.231503031,0.209491665,0.140667341,0.156327018,0.156756083,0.342699419,0.337736672,0.218500905,0.411273347,0.22781143,0.174150727,0.186935188,0.360259562,0.157037099,0.403129622,0.599642594,0.138164167,0.189662171,0.095109601,0.064691745,0.042205618,0.081155782,0.021160709,0.044931586,0.05854522,0.95
15-09-2015 05:00,0.313606789,0.275382593,0.435624582,0.442749629,0.310341515,0.247825339,0.04783023,0.16180241,0.213340279,0.162801105,0.149267722,0.136919573,0.134124888,0.293456268,0.150620603,0.194988844,0.330692138,0.137658217,0.165041629,0.146884927,0.14965537,0.183007541,0.375276253,0.286127901,0.20247668,0.413763104,0.224503036,0.203958676,0.152736728,0.306301512,0.161411799,0.4058252,0.617607576,0.158845249,0.173396565,0.118162625,0.073112378,0.030411521,0.054986629,0.015235147,0.037693095,0.046495948,0.95
15-09-2015 05:15,0.347544569,0.253619382,0.412868266,0.490954934,0.317784885,0.24172446,0.046344766,0.180561198,0.215166034,0.153760882,0.151161347,0.130443997,0.140537014,0.314286403,0.147057085,0.222382673,0.330720698,0.09170205,0.146411706,0.173010229,0.144078918,0.212942991,0.446024287,0.227175364,0.188252705,0.411249772,0.215179707,0.213702259,0.137845305,0.258572398,0.161263984,0.407622598,0.578678417,0.187867718,0.166772329,0.16299132,0.103241131,0.023410637,0.044330977,0.014458686,0.043143795,0.03581473,0.95
15-09-2015 05:30,0.367450365,0.232459181,0.357115122,0.534859138,0.290369181,0.225614019,0.0480382,0.197098692,0.220016787,0.140249657,0.158325547,0.11856072,0.153934184,0.335774003,0.145849254,0.276310126,0.316381177,0.088657649,0.157813035,0.205719972,0.14706355,0.233094956,0.540040065,0.195321559,0.179788566,0.418628506,0.206919708,0.20731987,0.132386138,0.225378175,0.155042749,0.396987049,0.541376911,0.215542086,0.164755757,0.223783715,0.126828219,0.019329513,0.054129598,0.015667528,0.048094997,0.026721002,0.95
15-09-2015 05:45,0.348458439,0.223389572,0.286934583,0.571891422,0.271106337,0.208774571,0.050956086,0.207195767,0.224654726,0.125366851,0.168743048,0.111807227,0.171408777,0.374121424,0.144929444,0.342714893,0.299064141,0.093337631,0.207254512,0.232926963,0.152482824,0.239124243,0.616555197,0.205794646,0.192348588,0.454586718,0.20275835,0.190061036,0.130967393,0.215591204,0.144141689,0.362330652,0.532097654,0.23186724,0.165520808,0.279552165,0.122240512,0.016867896,0.080977453,0.016925167,0.048939933,0.019270338,0.95
15-09-2015 06:00,0.302843482,0.224857884,0.235040488,0.600616454,0.282667112,0.192055753,0.051872431,0.210664679,0.225070706,0.117094023,0.176651003,0.121657615,0.185000656,0.40979984,0.141814718,0.385185145,0.290352909,0.087368235,0.288294177,0.25347544,0.149233995,0.239701282,0.650563181,0.251684653,0.259509986,0.527549072,0.200803391,0.167691713,0.130366757,0.230328852,0.135501901,0.323106664,0.539440473,0.238758078,0.167075066,0.309837374,0.108971326,0.015438862,0.112358073,0.020368981,0.048487045,0.013400804,0.95
15-09-2015 06:15,0.267373796,0.230582215,0.231082809,0.619235535,0.297637781,0.179639227,0.050634422,0.211177061,0.219864887,0.120656906,0.177641892,0.148786035,0.190087402,0.399766805,0.137707188,0.383552067,0.289933973,0.078883529,0.3626281,0.267110399,0.137332003,0.24587756,0.633364383,0.306814761,0.401786611,0.619234499,0.196931619,0.145981203,0.128557807,0.258825025,0.133367997,0.30750415,0.541453233,0.245761681,0.167454223,0.308366366,0.127310868,0.015752844,0.131613507,0.032885402,0.049498192,0.008992131,0.95
15-09-2015 06:30,0.2581478,0.237890152,0.275900014,0.624317871,0.287136447,0.175518355,0.048827789,0.208832107,0.211466015,0.131673395,0.171844225,0.171706647,0.190462233,0.335633784,0.135244787,0.357292242,0.279959897,0.078033568,0.39074399,0.266257624,0.128168729,0.256334446,0.573654843,0.338738844,0.569901292,0.698503701,0.18939192,0.12563288,0.125962968,0.280508407,0.135330651,0.311737544,0.519825131,0.25582313,0.166523265,0.285090821,0.190808233,0.020557183,0.128461881,0.061665709,0.052525581,0.005857636,0.95
