Datetime,Household 1,Household 2,Household 45,Household 54,Household 70,Household 71,Household 74,Household 115,Household 126,Household 136,Household 145,Household 153,Household 158,Household 162,Household 178,Household 181,Household 182,Household 191,Household 195,Household 198,Household 224,Quantile
14-09-2015 07:30,0.209100439,0.39543371,0.498603443,0.202690514,0.269401009,0.311261255,0.429857825,0.297711201,0.215176817,0.202316645,0.19778148,0.152616064,0.203284799,0.284611543,0.320565345,0.447475031,0.218582382,0.527774761,0.529751329,0.223813176,0.211113741,0.5
14-09-2015 07:45,0.238842715,0.355225724,0.509106975,0.19039432,0.347443592,0.31155712,0.452490603,0.341025436,0.217769831,0.188342549,0.187132863,0.172749183,0.217926182,0.34933628,0.31409136,0.428453525,0.196830891,0.514791608,0.618781048,0.184552575,0.201672028,0.5
14-09-2015 08:00,0.282557408,0.311928484,0.496476533,0.177767251,0.39249669,0.335829571,0.497100594,0.417130002,0.222222584,0.173521188,0.191545499,0.191464032,0.252719271,0.443394957,0.323967902,0.43428758,0.181556082,0.485722453,0.701878531,0.165627318,0.21858036,0.5
14-09-2015 08:15,0.332001245,0.290549006,0.456816839,0.16612381,0.396601592,0.363983184,0.575670272,0.49594828,0.227086741,0.160873921,0.210525358,0.20831451,0.29665645,0.536708284,0.350590977,0.461079342,0.17360299,0.450230184,0.75623763,0.189401815,0.256962841,0.5
14-09-2015 08:30,0.389190083,0.303100696,0.405156204,0.156625399,0.382314424,0.385604757,0.67563558,0.560785294,0.231506949,0.152613573,0.246011747,0.239701862,0.344938516,0.602665905,0.406922996,0.495013781,0.187255804,0.432219021,0.763891749,0.261650452,0.315348281,0.5
14-09-2015 08:45,0.446555336,0.340873837,0.362790186,0.149961509,0.366809693,0.413921103,0.75739455,0.624677903,0.236294222,0.148859958,0.30107518,0.302632085,0.409274113,0.623473425,0.485360869,0.520916896,0.247088146,0.434995879,0.731957776,0.361743884,0.372801302,0.5
14-09-2015 09:00,0.495961561,0.371257563,0.349757268,0.146701335,0.35342503,0.452326659,0.789205036,0.677924899,0.241889645,0.149617178,0.370134976,0.391814311,0.492911081,0.593368837,0.553163224,0.530856317,0.355244883,0.445096919,0.690909078,0.4555771,0.408737866,0.5
14-09-2015 09:15,0.54306249,0.365962817,0.375174663,0.147313,0.353229486,0.479320547,0.765616147,0.682908691,0.248707522,0.154580668,0.425926118,0.469762278,0.55678601,0.528528103,0.59215882,0.526816678,0.469328088,0.456897035,0.658174799,0.523057049,0.442649522,0.5
14-09-2015 09:30,0.576297497,0.329237332,0.431533538,0.151902978,0.386686588,0.473452744,0.713954518,0.649895389,0.258764538,0.162160065,0.436005254,0.49309512,0.547663704,0.469677936,0.629155767,0.517073544,0.546748534,0.466270706,0.627216227,0.566604866,0.50629134,0.5
14-09-2015 09:45,0.563168483,0.293958119,0.521062564,0.160349266,0.465404042,0.439204235,0.684034387,0.653620797,0.274650636,0.171143333,0.410118405,0.464925227,0.469173268,0.465425709,0.705974133,0.509784192,0.597520318,0.47452768,0.594022352,0.596559238,0.606399727,0.5
14-09-2015 10:00,0.502562545,0.288738104,0.662391876,0.172318978,0.575012001,0.402326256,0.698856711,0.753163196,0.298727639,0.180868511,0.392622762,0.427886021,0.381533454,0.545021636,0.810721524,0.50717627,0.651843728,0.494118593,0.564553893,0.620973793,0.719184257,0.5
14-09-2015 10:15,0.441471658,0.318616251,0.821848497,0.187194648,0.677147623,0.37924557,0.725850742,0.918149836,0.332239179,0.190403174,0.399310605,0.400260438,0.330715973,0.701094346,0.869482128,0.504691141,0.707549656,0.523435984,0.541850669,0.644933703,0.798567708,0.5
