Datetime,Household 6,Household 19,Household 20,Household 41,Household 47,Household 78,Household 88,Household 97,Household 112,Household 123,Household 124,Household 127,Household 137,Household 166,Household 177,Household 192,Household 199,Quantile
14-09-2015 15:00,0.189082285,0.084794633,0.097492422,0.059138149,0.108021947,0.121510732,0.090902258,0.083615802,0.051990461,0.045188789,0.116936667,0.120061003,0.083961018,0.094356826,0.115734434,0.129544537,0.147966958,0.5
14-09-2015 15:15,0.206700899,0.087727243,0.104348733,0.077195249,0.134380488,0.148903934,0.09610051,0.076920974,0.059152216,0.046798601,0.115411432,0.127013752,0.076507258,0.120114653,0.120901935,0.145610912,0.145978181,0.5
14-09-2015 15:30,0.233381791,0.090132954,0.112285474,0.100896902,0.131636329,0.1700219,0.097718327,0.069524768,0.07792454,0.050264949,0.103832614,0.130702676,0.072528679,0.163863299,0.1127589,0.165145025,0.133990336,0.5
14-09-2015 15:45,0.26035721,0.093206175,0.11948237,0.120301956,0.106817104,0.175764328,0.092052909,0.063993352,0.110078434,0.060055301,0.08892367,0.132865785,0.076068855,0.212043585,0.097700824,0.188331327,0.118591889,0.5
14-09-2015 16:00,0.267481803,0.100511377,0.124159959,0.127313843,0.091321221,0.165878787,0.081883082,0.06391252,0.149483451,0.075836994,0.081122184,0.131928379,0.086395808,0.250263142,0.086048922,0.204941327,0.104992306,0.5
14-09-2015 16:15,0.242736632,0.113550246,0.124744686,0.124871447,0.113921021,0.145740043,0.072593601,0.072689754,0.186375701,0.087009358,0.083066142,0.124294479,0.097180463,0.271427559,0.080014169,0.205797132,0.094158655,0.5
14-09-2015 16:30,0.199681686,0.134649282,0.122417342,0.126286752,0.173148656,0.124287033,0.065633974,0.094045568,0.210067634,0.085406077,0.08694519,0.112483583,0.103442898,0.269544218,0.076482794,0.193612237,0.087746341,0.5
14-09-2015 16:45,0.164042507,0.165692678,0.120613873,0.139125405,0.229955517,0.110587268,0.060558399,0.129236267,0.207608038,0.077430213,0.084709496,0.10260214,0.105480376,0.241556398,0.074311344,0.176548179,0.087883276,0.5
14-09-2015 17:00,0.148063628,0.194985536,0.121441569,0.152438028,0.242586708,0.106611664,0.057590121,0.169169965,0.176362991,0.073021773,0.075683323,0.09777161,0.103416383,0.202011149,0.073531133,0.158400562,0.092386053,0.5
14-09-2015 17:15,0.14630228,0.199965389,0.124019578,0.154029353,0.20973914,0.107901224,0.056523743,0.194648598,0.138905272,0.073376214,0.066534211,0.09880836,0.097447787,0.175845256,0.073777844,0.13938499,0.096400814,0.5
